storeName,storeId,customerAccount,channel,retailClass,dealerClass,stateOrProvince,city,franchiseeName,region,kwiStoreId,subTerritory,active,RSM,KAM,TM,salesDirector
3871 Pandora @ Mayfair Mall,PANDORA/MAYFAIR,USR0006357,O&O,Concept,B,WI,WAUWATOSA,O&O,MIDWEST,218254,East North Central ,,Michael Hurd,unknown,Dorothy Mickiewicz,Jackie Spencer
3922 PANDORA @ Fox River Mall - Store #722,C011020,USR0009523,O&O,Concept,B,WI,APPLETON,O&O,MIDWEST,218722,East North Central ,,Michael Hurd,unknown,Dorothy Mickiewicz,Jackie Spencer
3839 Pandora Fair Oaks,PANDORA/FAIROAK,USR0006262,O&O,Concept,B,VA,FAIRFAX,O&O,SOUTH,218251,South Atlantic ,,SVC-NAM-B2B-CCO-PRD1 #,unknown,Dulce Pino,Jackie Spencer
3874 Pandora Fashion Center @ Pentagon City,PANDORA/PENTAGO,USR0006426,O&O,Concept,B,VA,ARLINGTON,O&O,SOUTH,218472,South Atlantic ,,SVC-NAM-B2B-CCO-PRD1 #,unknown,Dulce Pino,Jackie Spencer
3894 Pandora @ Short Pump Mall,PANDORA/RICHMON,USR0006450,O&O,Concept,B,VA,RICHMOND,O&O,SOUTH,218327,South Atlantic ,,Michael Hurd,unknown,Gerri Gross-Scholl,Jackie Spencer
3842 Pandora Tysons Corner,PANDORA/TYSON,USR0006536,O&O,Concept,B,VA,MCLEAN,O&O,SOUTH,218245,South Atlantic ,,SVC-NAM-B2B-CCO-PRD1 #,unknown,Dulce Pino,Jackie Spencer
Pandora @ MacArthur Mall,PANDORA/MAC ART,USR0046646,O&O,Concept,C,VA,NORFOLK,O&O,SOUTH,NA,South Atlantic ,,Cindy Gibney,unknown,Barbara Pigg,Detria Courtalis
Pandora @ Stony Point,PANDORA/STONY,USR0046656,O&O,Concept,C,VA,RICHMOND,O&O,SOUTH,NA,South Atlantic ,,Cindy Gibney,unknown,Barbara Pigg,Detria Courtalis
3898 PANDORA @ Deerbrook Mall - Store #772,C010862,USR0001269,O&O,Concept,B,TX,HUMBLE,O&O,SOUTH,218772,West South Central ,,Michael Hurd,unknown,Kathy Voelkel,Jackie Spencer
3891 Pandora @ Killeen Mall,PANDORA/KILLEEN,USR0006315,O&O,Concept,C,TX,KILLEEN,O&O,SOUTH,218605,West South Central ,,Michael Hurd,unknown,Kathy Voelkel,Jackie Spencer
3917 Pandora @ Northstar,PANDORA/NORTHST,USR0006394,O&O,Concept,B,TX,SAN ANTONIO,O&O,SOUTH,218257,West South Central ,,Michael Hurd,unknown,Kathy Voelkel,Jackie Spencer
3872 Pandora @ The Woodlands Mall,PANDORA/THEWOOD,USR0006515,O&O,Concept,B,TX,THE WOODLANDS,O&O,SOUTH,218271,West South Central ,,Michael Hurd,unknown,Kathy Voelkel,Jackie Spencer
3873 Pandora @ Willowbrook Mall TX,PANDORA/WILLOW,USR0006567,O&O,Concept,B,TX,HOUSTON,O&O,SOUTH,218270,West South Central ,,Michael Hurd,unknown,Kathy Voelkel,Jackie Spencer
3904 PANDORA @ Shops at Saddle Creek - Store #808,C010881,USR0001283,O&O,Concept,B,TN,GERMANTOWN,O&O,SOUTH,218208,East South Central ,,Michael Hurd,unknown,Gerri Gross-Scholl,Jackie Spencer
3864 Pandora @ Providence Place Mall,PANDORA/PROV,USR0006441,O&O,Concept,C,RI,PROVIDENCE,O&O,NORTHEAST,218156,New England ,,Michael Hurd,unknown,Princess Gordis,Jackie Spencer
3870 Pandora @ Warwick Mall,PANDORA/WARWICK,USR0006555,O&O,Concept,C,RI,WARWICK,O&O,NORTHEAST,218470,New England ,,Michael Hurd,unknown,Princess Gordis,Jackie Spencer
3905 PANDORA @ Monroeville - Store #801,C010882,USR0001284,O&O,Concept,C,PA,Monroeville,O&O,NORTHEAST,218206,Middle Atlantic ,,Michael Hurd,unknown,Kristy Barnes,Jackie Spencer
3836 Pandora @ Pittsburgh Int. Airport,PANDORA/PITTSBU,USR0006433,O&O,Concept,D,PA,PITTSBURGH,O&O,NORTHEAST,218657,Middle Atlantic ,,Michael Hurd,unknown,Kristy Barnes,Jackie Spencer
3827 Pandora @ Ross Park Mall,PANDORA/ROSS,USR0006460,O&O,Concept,B,PA,PITTSBURGH,O&O,NORTHEAST,218160,Middle Atlantic ,,Michael Hurd,unknown,Kristy Barnes,Jackie Spencer
3830 Pandora @ South Hills Mall,PANDORA/SOUTH H,USR0006492,O&O,Concept,B,PA,PITTSBURGH,O&O,NORTHEAST,218289,Middle Atlantic ,,Michael Hurd,unknown,Kristy Barnes,Jackie Spencer
